id,resourceName,type,hintline,direct,sort
1,1_qiangmian,1,xg1,,9
2,1_xiaozhuotai,1,xg1,,27
3,1_xiaozz,1,xg1,,18
4,1_youjiazi,1,xg1,,3
5,1_pijiuji,1,xg1,,15
6,1_pijiu2,1,xg1,,32
7,1_pijiu1,1,xg1,,2
8,1_zhuozi1,1,xg1,,35
9,1_zhuozim,1,xg1,,16
10,2_huakuang,2,xg2,,22
11,2_biao,2,xg2,,13
12,2nvren,2,xg2,,5
13,2nvyifu,2,xg2,,11
14,2tuopan,2,xg2,,37
15,2_lvsegz,2,xg2,,29
16,2_zuojz,2,xg2,,28
17,2_zhaopian,2,xg2,,10
18,2_2beizi,2,xg2,,31
19,2_huashenggz,2,xg2,,25
20,2_zhuotaizi,2,xg2,,26
21,3_yidiebz,3,xg3,,4
22,3_huashenggz,3,xg3,,39
23,3_tiegz,3,xg3,,8
24,3_hebz,3,xg3,,36
25,3_huibz,3,xg3,,34
26,3_panzi,3,xg3,,24
27,3_lvzhi,3,xg3,,14
28,3huiseguanzi,3,xg3,,23
29,3haungsegz,3,xg3,,19
30,3_huanggz,3,xg3,,1
31,3_caidan,3,xg3,,30
32,3taideng,3,xg3,,17
33,3_chabei,3,xg3,,38
34,3_guahua1,3,xg3,,20
35,4_lvzhi,4,xg4,,6
36,4_chahu,4,xg4,,12
37,4_beizi,4,xg4,,21
38,4nanren,4,xg4,,33
39,4nanmaozi,4,xg4,,7
40,1yinying,,,1,
41,2yinying,,,2,
42,3yinying,,,3,
43,4yinying,,,4,
