id,resourceName,type,hintline,direct,sort,input
1,1zhaopian4,1,xg1,,17,2
2,1huazuo,1,xg1,,9,2
3,1huazhong,1,xg1,,46,1
4,1huayou,1,xg1,,37,2
5,1ditan,1,xg1,,23,1
6,1bizhi,1,xg1,,20,2
7,1taijie,1,xg1,,16,1
8,1diban,1,xg1,,44,2
9,2zhaopian4miao,2,xg2,,11,1
10,2zhaopian1,2,xg2,,18,1
11,2zhaopian7,2,xg2,,45,1
12,2kaozhen,2,xg2,,3,2
13,2shafa3,2,xg2,,2,1
14,2shafa2,2,xg2,,48,1
15,2shafa1,2,xg2,,13,2
16,2fangzhuozhuobu,2,xg2,,28,2
17,2fangzhuo,2,xg2,,22,2
18,2taijiefushou,2,xg2,,29,2
19,2gou,2,xg2,,27,2
20,2taijie2,2,xg2,,49,2
21,2zhuomian,2,xg2,,7,1
22,2zhuotui,2,xg2,,40,1
23,2liangyijia,2,xg2,,1,2
24,3wangguan,3,xg3,,4,2
25,3zhaopian1gou,3,xg3,,36,2
26,3zhaopian2,3,xg3,,42,2
27,3tuoxie,3,xg3,,25,2
28,3laotaitai,3,xg3,,35,2
29,3zhaopian3,3,xg3,,12,2
30,3weijin,3,xg3,,10,2
31,3maoxiantuan2,3,xg3,,14,2
32,3zhiwu,3,xg3,,41,1
33,3shuijingping,3,xg3,,38,1
34,3miao,3,xg3,,26,1
35,3maoqiutuan,3,xg3,,51,1
36,3guopan,3,xg3,,8,1
37,3shu1,3,xg3,,19,2
38,3zhuobu,3,xg3,,32,2
39,4yanjing,4,xg4,,24,2
40,4juanmaogou,4,xg4,,30,2
41,4zhaopian5,4,xg4,,50,1
42,4zhaopian6,4,xg4,,43,1
43,4zhiwu3,4,xg4,,39,2
44,4zhiwu2,4,xg4,,5,1
45,4gutou,4,xg4,,21,1
46,4zhuangshibutiao,4,xg4,,31,2
47,4dianshiji,4,xg4,,15,2
48,4taideng,4,xg4,,33,2
49,4kafeibei,4,xg4,,6,2
50,4shu2,4,xg4,,47,2
51,4shuiguo,4,xg4,,34,2
