id,resourceName,type,hintline,direct,sort,input
1,1huawen2,1,xg1,,18,2
2,1biankuang2,1,xg1,,3,2
3,1huawen1,1,xg1,,20,2
4,1biankuang1,1,xg1,,23,1
5,1huakuangdibu,1,xg1,,25,2
6,2huawen3,2,xg2,,16,1
7,2biankuang6,2,xg2,,21,1
8,2biankuang5,2,xg2,,15,1
9,2biankuang4,2,xg2,,19,1
10,2biankuang3,2,xg2,,11,1
11,2shanzi,2,xg2,,1,1
12,2weijin,2,xg2,,8,2
13,2yifu,2,xg2,,12,2
14,2miao,2,xg2,,22,1
15,3zhuangshideng,3,xg3,,7,2
16,3banyuanxing,3,xg3,,9,2
17,3dabiankuang4,3,xg3,,24,2
18,3dabiankuang3,3,xg3,,10,2
19,3dabiankuang2,3,xg3,,4,2
20,3dabiankuang1,3,xg3,,17,2
21,3biankuang8,3,xg3,,13,1
22,3biankuang7,3,xg3,,6,1
23,3maozi,3,xg3,,5,1
24,3erhuan2,3,xg3,,2,1
25,3erhuan1,3,xg3,,14,1
26,ty1,,,1,,
27,ty2,,,2,,
28,ty31,,,3,,
29,ty32,,,3,,
