id,resourceName,type,hintline,direct,sort,input
1,1hu,1,xg1,,24,1
2,1zhuobu,1,xg1,,7,2
3,1zhuozi,1,xg1,,6,2
4,1youfangding,1,xg1,,21,1
5,1youfangwu,1,xg1,,3,1
6,1zuofangding,1,xg1,,23,1
7,1zuofangwu,1,xg1,,15,2
8,1chuangkuang,1,xg1,,18,2
9,1qiang,1,xg1,,27,2
10,2laba,2,xg2,,1,1
11,2changpian,2,xg2,,5,2
12,2changpianji,2,xg2,,25,1
13,2biao,2,xg2,,11,1
14,2hua2,2,xg2,,2,2
15,2yujinxiang,2,xg2,,16,2
16,2hua1,2,xg2,,17,2
17,2zhiwu,2,xg2,,28,2
18,2huaping,2,xg2,,14,1
19,2zuochuanghu,2,xg2,,13,2
20,2youyantong,2,xg2,,32,1
21,2youchuanghu3,2,xg2,,12,1
22,2youchuanghu2,2,xg2,,33,2
23,2youchuanghu1,2,xg2,,9,2
24,2chuanghu2,2,xg2,,19,1
25,2chuanghu,2,xg2,,4,1
26,3kafeibei,3,xg3,,29,2
27,3kafeibei2,3,xg3,,20,1
28,3shupian,3,xg3,,8,1
29,3panzi,3,xg3,,31,2
30,3juzi1,3,xg3,,10,1
31,3juzi2,3,xg3,,26,1
32,3zuoqi,3,xg3,,30,1
33,3youqi,3,xg3,,22,1
34,ty1,,,1,,
35,ty2,,,2,,
36,ty3,,,3,,
