id,resourceName,type,hintline,direct,sort
1,1wuyifu,1,xg1,,20
2,1siding,1,xg1,,34
3,1sizuo,1,xg1,,37
4,1dikuang,1,xg1,,21
5,1siyouding,1,xg1,,30
6,1siyou,1,xg1,,10
7,1wuanniu,1,xg1,,19
8,1wuchuangkou1,1,xg1,,5
9,1wuchuangkou2,1,xg1,,15
10,1wubiaopan,1,xg1,,39
11,1wu,1,xg1,,31
12,1xiakuang,1,xg1,,6
13,2yishucong,2,xg2,,17
14,2shangkuang,2,xg2,,13
15,2sanyoufangzi2,2,xg2,,28
16,2sanyoufangzi1,2,xg2,,27
17,2sanyouchouti,2,xg2,,3
18,2sanzuoanniu,2,xg2,,40
19,2sanzuoyibiaopan,2,xg2,,4
20,2sanzuozhong,2,xg2,,35
21,2sanzuoding,2,xg2,,25
22,2sanzuodizuo,2,xg2,,23
23,2siyouyantong,2,xg2,,26
24,2sicaocong1,2,xg2,,18
25,2wushucong2,2,xg2,,32
26,2wushucong1,2,xg2,,38
27,3renwu,3,xg3,,7
28,3yilingjian1,3,xg3,,24
29,3yilingjian2,3,xg3,,2
30,3yilingjian3,3,xg3,,1
31,3yijiqi,3,xg3,,33
32,3yifangzi,3,xg3,,41
33,3ershucong,3,xg3,,16
34,3eryinxiang,3,xg3,,29
35,3erding,3,xg3,,22
36,3er,3,xg3,,12
37,3sanyoushu1,3,xg3,,11
38,3sanyoucaocong3,3,xg3,,8
39,3sanyoucaocong2,3,xg3,,14
40,3sanyoucaocong,3,xg3,,9
41,3sanzuocaocong,3,xg3,,36
42,ty2,,,2,
43,ty3,,,3,
