id,resourceName,type,hintline,direct,sort
1,1huapen,1,xg1,,9
2,1taideng1,1,xg1,,5
3,1taideng2,1,xg1,,18
4,1chuanghu2,1,xg1,,17
5,1chuanghu,1,xg1,,10
6,1geban,1,xg1,,3
7,1xiaoguizi,1,xg1,,23
8,1diban,1,xg1,,12
9,1qiang,1,xg1,,4
10,2nvren,2,xg2,,20
11,2boliguan,2,xg2,,27
12,2zhiwujing,2,xg2,,21
13,2huapen,2,xg2,,11
14,2lazhu2,2,xg2,,16
15,2beizi,2,xg2,,30
16,2shu,2,xg2,,22
17,2zhuobu,2,xg2,,14
18,2huakuang,2,xg2,,26
19,2bandeng,2,xg2,,7
20,2zhuozi,2,xg2,,19
21,3youchuanglian,3,xg3,,8
22,3zuochuanglian,3,xg3,,29
23,3yezi1,3,xg3,,24
24,3luhui,3,xg3,,25
25,3zhutai1,3,xg3,,6
26,3zhiwuyezi,3,xg3,,28
27,3miao,3,xg3,,2
28,3luoye2,3,xg3,,1
29,3luoye1,3,xg3,,31
30,3huanglazhu,3,xg3,,13
31,3duanlazhu,3,xg3,,15
32,ty1,,,1,
33,ty2,,,2,
34,ty3,,,3,
