id,resourceName,type,hintline,direct,sort,input
1,1lou3,1,xg1,,35,1
2,1lou2,1,xg1,,18,1
3,1lou1chuanghu1,1,xg1,,13,1
4,1lou1chuanghu2,1,xg1,,32,2
5,1lou1chuanghu3,1,xg1,,9,1
6,1lou1peijian,1,xg1,,14,2
7,1lou1langan,1,xg1,,33,2
8,1lou1yancong2,1,xg1,,1,2
9,1lou1yancong1,1,xg1,,17,2
10,1lou1,1,xg1,,8,1
11,1di,1,xg1,,12,2
12,2lou6chuanghu2,2,xg2,,37,1
13,2lou6chuanghu,2,xg2,,3,2
14,2lou6ding,2,xg2,,7,2
15,2lou6,2,xg2,,11,1
16,2lou5chuanghu3,2,xg2,,21,2
17,2lou5chuanghu2,2,xg2,,16,1
18,2lou5chuanghu1,2,xg2,,25,1
19,2lou5fangding,2,xg2,,5,2
20,2lou5,2,xg2,,34,2
21,2lou4peijian,2,xg2,,29,2
22,2lou4,2,xg2,,38,1
23,2lou3peijian,2,xg2,,30,1
24,2lou1zhuzi,2,xg2,,6,2
25,2lou1chuanghu5,2,xg2,,24,2
26,2lou1chuanghu4,2,xg2,,23,1
27,3ludeng,3,xg3,,27,2
28,3zuoshu,3,xg3,,10,1
29,3lu2,3,xg3,,15,1
30,3lu,3,xg3,,26,2
31,3shuyou,3,xg3,,20,1
32,3lou8zhuangshi2,3,xg3,,31,1
33,3lou8zhuangshi1,3,xg3,,4,2
34,3lou8ding,3,xg3,,36,1
35,3lou8,3,xg3,,2,2
36,3lou7peishi,3,xg3,,28,2
37,3lou7,3,xg3,,19,2
38,3lou6chuanghu3,3,xg3,,22,2
39,ty2,,,2,,
40,ty3,,,3,,
