id,resourceName,type,hintline,direct,sort,input
1,1fangzi2,1,xg1,,19,2
2,1fangzi1,1,xg1,,12,1
3,1shu2,1,xg1,,13,2
4,1shu1,1,xg1,,25,1
5,1caodi,1,xg1,,5,2
6,2shizhuan,2,xg2,,16,1
7,2zhuzi,2,xg2,,20,1
8,2fangzi5,2,xg2,,2,2
9,2chuanghu4,2,xg2,,4,1
10,2chuanghu3,2,xg2,,22,1
11,2men1,2,xg2,,15,1
12,2chuanghu2,2,xg2,,23,2
13,2chuanghu1,2,xg2,,30,2
14,2fangzi4,2,xg2,,29,1
15,2fangzi3,2,xg2,,24,1
16,2yancong,2,xg2,,17,1
17,3xue2,3,xg3,,31,2
18,3caodui4,3,xg3,,1,1
19,3caodui3,3,xg3,,18,2
20,3caodui2,3,xg3,,26,2
21,3caodui1,3,xg3,,11,1
22,3chuanghu6,3,xg3,,10,2
23,3chuanghu5,3,xg3,,3,1
24,3xue1,3,xg3,,28,1
25,3langan,3,xg3,,27,2
26,3lu,3,xg3,,8,2
27,3shu4,3,xg3,,33,2
28,3shu3,3,xg3,,9,1
29,4chuangliandai2,4,xg4,,6,1
30,4chuangliandai1,4,xg4,,21,1
31,4niao,4,xg4,,14,2
32,4chuanghu,4,xg4,,32,1
33,4dachuanghu,4,xg4,,7,2
