id,resourceName,type,hintline,direct,sort
1,1zhiwujiashang,1,xg1,,39
2,1zhiwujiazhong,1,xg1,,33
3,1zhiwujiaxia,1,xg1,,2
4,1shuichi,1,xg1,,15
5,1chuanghu,1,xg1,,9
6,1qiang,1,xg1,,3
7,1guizi,1,xg1,,11
8,1diban,1,xg1,,26
9,2huangguanzi,2,xg2,,14
10,2pingdiguo,2,xg2,,31
11,2mugui,2,xg2,,18
12,2kaopan,2,xg2,,19
13,2qianjingzhuozi,2,xg2,,21
14,2yizizuo,2,xg2,,8
15,2jidan,2,xg2,,24
16,2nangua,2,xg2,,7
17,2zhuozi,2,xg2,,32
18,2mama,2,xg2,,1
19,2bingxiang,2,xg2,,30
20,3lvguanzi,3,xg3,,23
21,3wan,3,xg3,,12
22,3guochan,3,xg3,,36
23,3mianguanzi,3,xg3,,37
24,3zaotai,3,xg3,,17
25,3dangao,3,xg3,,10
26,3shoutao,3,xg3,,4
27,3nanhai,3,xg3,,16
28,3penzaizuo,3,xg3,,34
29,3penzaiyou,3,xg3,,20
30,3yiziyou,3,xg3,,25
31,3mianfendaizi,3,xg3,,6
32,4guo,4,xg4,,35
33,4hongguanzi,4,xg4,,22
34,4beizi,4,xg4,,40
35,4panzi,4,xg4,,38
36,4kuaizitong,4,xg4,,27
37,4bu,4,xg4,,5
38,4anban,4,xg4,,29
39,4hujiaofen,4,xg4,,28
40,4tangguanzi,4,xg4,,41
41,4qianjinghu,4,xg4,,13
42,ty1,,,1,
43,ty2,,,2,
44,ty3,,,3,
45,ty4,,,4,
