id,resourceName,type,hintline,direct,sort,input
1,1xiangkuang7,1,xg1,,24,1
2,1xiangkuang6,1,xg1,,23,2
3,1xiangkuang5,1,xg1,,14,1
4,1xiangkuang4,1,xg1,,16,2
5,1xiangkuang3,1,xg1,,25,1
6,1xiangkuang2,1,xg1,,9,2
7,1xiangkuang1,1,xg1,,21,2
8,1diban,1,xg1,,26,2
9,2songshu,2,xg2,,4,1
10,2chuanglianzuo,2,xg2,,10,1
11,2chuanglianyou,2,xg2,,22,1
12,2xiangpian7,2,xg2,,20,1
13,2xiangpian6,2,xg2,,12,2
14,2xiangpian5,2,xg2,,8,2
15,2xiangpian3,2,xg2,,17,1
16,2zhuangshi4,2,xg2,,5,1
17,2zhuangshi3,2,xg2,,19,2
18,2zhuangshi2,2,xg2,,3,1
19,2zhuangshi1,2,xg2,,7,1
20,3paizi,3,xg3,,1,2
21,3weilan,3,xg3,,11,2
22,3songshu,3,xg3,,13,2
23,3shoudiantong,3,xg3,,18,2
24,3bolibei,3,xg3,,15,1
25,3xianglian,3,xg3,,6,1
26,3maozi,3,xg3,,2,2
27,ty1,,,1,,
28,ty2,,,2,,
29,ty3,,,3,,
