id,resourceName,type,hintline,direct,sort,input
1,1shangchuanghukuang,1,xg1,,2,1
2,1xiachuanghukuang,1,xg1,,18,2
3,1chuanghu,1,xg1,,9,2
4,2xue,2,xg2,,1,2
5,2shanghuawen,2,xg2,,12,1
6,2xiahuawen,2,xg2,,15,1
7,2zuochuanghukuang,2,xg2,,20,1
8,2youchuanghukuang,2,xg2,,10,2
9,2jiaose,2,xg2,,5,2
10,3xiuzi,2,xg2,,7,1
11,3xiaoqiu,3,xg3,,6,2
12,3xiaoniao,3,xg3,,19,1
13,3yezikaobei,3,xg3,,4,2
14,3xiaodengpao4,3,xg3,,17,2
15,3xiaodengpao3,3,xg3,,16,2
16,3xiaodengpao2,3,xg3,,3,1
17,3youchuangkuang,3,xg3,,14,1
18,3zuochuangkuang,3,xg3,,11,1
19,3xiantiao,3,xg3,,13,2
20,3xiaodengpao1,3,xg3,,8,2
21,ty2,,,2,,
22,ty31,,,3,,
23,tty32,,,3,,
