id,resourceName,type,hintline,direct,sort,input
1,1mama,1,xg1,,17,2
2,1shafa1,1,xg1,,12,2
3,1xiaonvhai,1,xg1,,4,1
4,1qiangbi2,1,xg1,,9,1
5,1diban2,1,xg1,,18,2
6,1diban1,1,xg1,,2,1
7,1boli2,1,xg1,,8,1
8,1boli1,1,xg1,,24,1
9,1biluqiang2,1,xg1,,15,1
10,1biluqiang1,1,xg1,,21,1
11,1qiangbi1,1,xg1,,1,2
12,2biluqiang3,2,xg2,,13,2
13,2zhuozi,2,xg2,,20,1
14,2shafa2,2,xg2,,5,2
15,2mugun,2,xg2,,6,1
16,2penzai,2,xg2,,19,1
17,2chuanglian2,2,xg2,,22,1
18,2chuanglian1,2,xg2,,14,2
19,2huakuang2,2,xg2,,16,1
20,2ditan,2,xg2,,10,1
21,3zhuobu,3,xg3,,7,2
22,3zhalan,3,xg3,,23,2
23,3biao,3,xg3,,11,2
24,3baozhen,3,xg3,,3,2
25,ty1,,,1,,
26,ty26,,,2,,
27,ty25,,,2,,
28,ty24,,,2,,
29,ty23,,,2,,
30,ty22,,,2,,
31,ty21,,,2,,
32,ty31,,,3,,
