id,resourceName,type,hintline,direct,sort,input
1,1yun4,1,xg1,,21,2
2,1yun3,1,xg1,,17,1
3,1yun2,1,xg1,,20,2
4,1yun1,1,xg1,,13,1
5,1caihong,1,xg1,,3,1
6,2aixin,2,xg2,,14,2
7,2tangguo7,2,xg2,,30,1
8,2tangguo6,2,xg2,,1,1
9,2zhuangshi3,2,xg2,,27,2
10,2tangguo5,2,xg2,,6,2
11,2tangguo4,2,xg2,,11,1
12,2zhuangshi2,2,xg2,,8,2
13,2tangguo3,2,xg2,,16,1
14,2tangguo2,2,xg2,,15,1
15,2zhuangshi1,2,xg2,,2,2
16,2tangguo1,2,xg2,,29,2
17,3ren5,3,xg3,,9,1
18,3hongseqiqiu,3,xg3,,19,1
19,3ren4,3,xg3,,28,2
20,3ren3,3,xg3,,5,2
21,3ren2,3,xg3,,22,2
22,3ren1,3,xg3,,24,2
23,3aixinzhuangshi,3,xg3,,23,2
24,3hongsebang,3,xg3,,18,2
25,3lansebang,3,xg3,,4,1
26,4xiaosuipian,4,xg4,,26,1
27,4lansereqiqiu,4,xg4,,10,1
28,4fensereqiqiu,4,xg4,,7,1
29,4hongseaixinqiqiu,4,xg4,,25,2
30,4ren6,4,xg4,,12,2
31,ty3,,,3,,
