id,resourceName,type,hintline,direct,sort,input
1,1zuoqiangzhi,1,xg1,,4,1
2,1baiseqiangzhi,1,xg1,,17,1
3,1huisekuang,1,xg1,,32,1
4,1shenzongsekuang,1,xg1,,13,1
5,1changdeng,1,xg1,,9,1
6,1zongseqiangzhi,1,xg1,,19,2
7,1langan,1,xg1,,3,1
8,1chuanghu,1,xg1,,37,1
9,1diban,1,xg1,,8,1
10,2zhuomian3,2,xg2,,35,1
11,2zhuomian2,2,xg2,,30,2
12,2zhuomian1,2,xg2,,31,1
13,2zhuotui3,2,xg2,,42,2
14,2zhuotui2,2,xg2,,23,1
15,2zhuotui1,2,xg2,,40,1
16,2baobao,2,xg2,,15,1
17,2renwu2,2,xg2,,6,1
18,2yiziyou,2,xg2,,12,1
19,2renwu1,2,xg2,,1,1
20,2baozhen3,2,xg2,,41,1
21,2baozhen2,2,xg2,,29,2
22,2baozhen1,2,xg2,,5,1
23,2kaodian,2,xg2,,26,1
24,2zuodian,2,xg2,,25,1
25,3zhuomiancanju,3,xg3,,38,1
26,3penzai4,3,xg3,,16,1
27,3huaping,3,xg3,,28,2
28,3diaolan,3,xg3,,20,1
29,3diaodeng,3,xg3,,34,1
30,3penzai3,3,xg3,,39,2
31,3penzai2,3,xg3,,2,1
32,3penzai1,3,xg3,,14,1
33,3beiziwan,3,xg3,,24,1
34,3daizi,3,xg3,,33,2
35,3jiazi,3,xg3,,10,1
36,3xiangkuang2,3,xg3,,22,1
37,3xiangkuang1,3,xg3,,27,2
38,4hua,4,xg4,,18,1
39,4nachen,4,xg4,,7,2
40,4lansexiangkuang,4,xg4,,11,1
41,4biao,4,xg4,,21,1
42,4qianbianyizi,4,xg4,,36,2
43,ty1,,,1,,
44,ty21,,,2,,
45,ty22,,,2,,
46,ty23,,,2,,
47,ty31,,,3,,
48,ty32,,,3,,
49,ty33,,,3,,
50,ty34,,,3,,
51,ty41,,,4,,
52,ty42,,,4,,
