id,resourceName,type,hintline,direct,sort
1,1_lou1,1,xg1,,47
2,1_lu,1,xg1,,17
3,1_loukuang3,1,xg1,,49
4,1_loukuang2,1,xg1,,9
5,1_loukuang,1,xg1,,28
6,1_shuchong2,1,xg1,,37
7,1_shucong1,1,xg1,,10
8,1_chuanghu2,1,xg1,,20
9,1_chuanghu1,1,xg1,,33
10,1_men2,1,xg1,,2
11,1_men,1,xg1,,19
12,2_ck2,2,xg2,,48
13,2_ck1,2,xg2,,50
14,2_hp3,2,xg2,,39
15,2_huapen2,2,xg2,,12
16,2_dgmc2,2,xg2,,42
17,2daguanmuzuo,2,xg2,,6
18,2_huapen1,2,xg2,,15
19,2_xiaogmc2,2,xg2,,24
20,2_xiaogmc,2,xg2,,23
21,2_shu1,2,xg2,,34
22,2_shuganzuo,2,xg2,,27
23,2_luoye1,2,xg2,,21
24,2zhalan,2,xg2,,32
25,3_shuyou,3,xg3,,40
26,3_shuganyou,3,xg3,,8
27,3_lu1,3,xg3,,22
28,3renwu,3,xg3,,43
29,3dayi,3,xg3,,14
30,3_huapen1,3,xg3,,38
31,3_xiaogmc,3,xg3,,18
32,3_youlangan,3,xg3,,25
33,3_zuolangan,3,xg3,,3
34,3_gou,3,xg3,,11
35,3_youxie,3,xg3,,44
36,3_zuoxie,3,xg3,,1
37,3_luoye4,3,xg3,,41
38,3_luoye3,3,xg3,,4
39,3luoye2,3,xg3,,31
40,3_luoye1,3,xg3,,35
41,3_zhalan,3,xg3,,45
42,4shuchongyou,4,xg4,,46
43,4_shucong1,4,xg4,,29
44,4bao,4,xg4,,7
45,4weijin,4,xg4,,5
46,4_luoye4,4,xg4,,36
47,4_luoye3,4,xg4,,16
48,4_luoye2,4,xg4,,26
49,4_luoye1,4,xg4,,13
50,4_zuozhalan,4,xg4,,30
51,1yinying,,,1,
52,2yinying,,,2,
53,3yinying,,,3,
54,4yinying,,,4,
