id,resourceName,type,hintline,direct,sort,input
1,1shu5,1,xg1,,17,2
2,1shu4,1,xg1,,29,2
3,1shu3,1,xg1,,28,1
4,1shu2,1,xg1,,25,2
5,1shu1,1,xg1,,26,1
6,1biankuang2,1,xg1,,2,2
7,1biankuang1,1,xg1,,20,1
8,1baisedian,1,xg1,,4,1
9,2shu2,2,xg2,,24,2
10,2wuding,2,xg2,,42,2
11,2shu10,2,xg2,,18,2
12,2shu9,2,xg2,,38,2
13,2guizi2,2,xg2,,1,2
14,2shu8,2,xg2,,13,1
15,2fangzi3,2,xg2,,31,1
16,2guizi1,2,xg2,,34,1
17,2shu1,2,xg2,,15,2
18,2shu7,2,xg2,,37,2
19,2fangzi2,2,xg2,,9,1
20,2fangzi1,2,xg2,,19,1
21,2shu6,2,xg2,,39,1
22,3caocong,3,xg3,,22,1
23,3ludeng2,3,xg3,,6,1
24,3shu14,3,xg3,,40,1
25,3shu13,3,xg3,,43,2
26,3yizi3,3,xg3,,41,1
27,3yizi2,3,xg3,,3,2
28,3shu3,3,xg3,,12,1
29,3shu12,3,xg3,,11,2
30,3men1,3,xg3,,5,2
31,3fangzi6,3,xg3,,33,1
32,3fangzi5,3,xg3,,30,1
33,3qiche,3,xg3,,16,1
34,3fangzi4,3,xg3,,21,2
35,3shu11,3,xg3,,32,2
36,3yizi1,3,xg3,,23,1
37,3ludeng1,3,xg3,,7,2
38,4yezi,4,xg4,,36,1
39,4men2,4,xg4,,14,2
40,4chuanghu,4,xg4,,8,1
41,4dashu,4,xg4,,27,1
42,4yuanxing,4,xg4,,35,1
43,4shu15,4,xg4,,10,1
