id,resourceName,type,hintline,direct,sort,input
1,1huanghua,1,xg1,,6,2
2,1beizi,1,xg1,,16,2
3,1xiangkuang,1,xg1,,8,1
4,1lanhua,1,xg1,,22,2
5,1meigui,1,xg1,,15,1
6,1juhua,1,xg1,,18,1
7,1guozi,1,xg1,,30,2
8,1pingzi,1,xg1,,19,1
9,1zhuozi,1,xg1,,12,1
10,1chuanghu,1,xg1,,43,2
11,1chuangkuang,1,xg1,,31,1
12,2shuye8,2,xg2,,25,1
13,2shuye7,2,xg2,,34,1
14,2shuye6,2,xg2,,11,1
15,2shuzhi2,2,xg2,,37,2
16,2shuye5,2,xg2,,24,2
17,2shuye4,2,xg2,,33,1
18,2shuye3,2,xg2,,35,2
19,2shuye2,2,xg2,,26,2
20,2shuye1,2,xg2,,32,1
21,2shuzhi1,2,xg2,,17,1
22,2fangwu6,2,xg2,,40,1
23,2fangwu5,2,xg2,,9,1
24,2fangwu4,2,xg2,,7,2
25,2fangwu3,2,xg2,,4,2
26,2fangwu2,2,xg2,,3,2
27,2fangwu1,2,xg2,,27,1
28,3piaochong,3,xg3,,5,1
29,3juzi,3,xg3,,39,2
30,3cao2,3,xg3,,38,1
31,3cao1,3,xg3,,20,2
32,3hudie,3,xg3,,36,1
33,3fangwu8,3,xg3,,2,1
34,3fangwu7,3,xg3,,41,1
35,3shuzhi6,3,xg3,,23,2
36,3shuzhi5,3,xg3,,1,1
37,3shuzhi4,3,xg3,,28,1
38,3shuzhi3,3,xg3,,29,2
39,3shucong,3,xg3,,21,2
40,3chuanghu2,3,xg3,,42,1
41,3chuanghu1,3,xg3,,14,2
42,3chuanghu,3,xg3,,13,2
43,3men,3,xg3,,10,2
44,ty1,,,1,,
45,ty2,,,2,,
46,ty3,,,3,,
