id,resourceName,type,hintline,direct,sort
1,1ditan2,1,xg1,,5
2,1ditan1,1,xg1,,11
3,1chuanghu,1,xg1,,16
4,1guahua1,1,xg1,,25
5,1qiangwen,1,xg1,,6
6,1diban,1,xg1,,27
7,2wangyuanjing2,2,xg2,,3
8,2xiangzi1,2,xg2,,10
9,2zhuozi,2,xg2,,33
10,2shu3,2,xg2,,28
11,2shu2,2,xg2,,1
12,2shu1,2,xg2,,31
13,2guizi2,2,xg2,,2
14,2masheng,2,xg2,,13
15,2wangyuanjing1,2,xg2,,15
16,2guimen,2,xg2,,29
17,2guizi1,2,xg2,,14
18,3guizi3wupin,3,xg3,,20
19,3chuanglian,3,xg3,,22
20,3wangyuanjing3,3,xg3,,21
21,3guizi3,3,xg3,,26
22,3shuganguajian,3,xg3,,30
23,3shugan,3,xg3,,7
24,3lazhu,3,xg3,,34
25,3fangdajing,3,xg3,,23
26,3renwu,3,xg3,,36
27,3ditu,3,xg3,,19
28,3deng1,3,xg3,,8
29,3shu4,3,xg3,,12
30,4guahua2,4,xg4,,35
31,4deng2,4,xg4,,24
32,4zhaoxiangji,4,xg4,,4
33,4shoudiantong,4,xg4,,17
34,4xiaodao,4,xg4,,18
35,4xiangzi2,4,xg4,,32
36,4diqiuyi,4,xg4,,9
37,ty11,,,1,
38,ty12,,,1,
39,ty2,,,2,
40,ty31,,,3,
41,ty32,,,3,
42,ty33,,,3,
43,ty34,,,3,
44,ty41,,,4,
45,ty42,,,4,
