id,resourceName,type,hintline,direct,sort,input
1,1xiaodeng,1,xg1,,24,2
2,1chuanglianhuan,1,xg1,,7,2
3,1chuangliangan,1,xg1,,4,2
4,1chuanghu,1,xg1,,29,1
5,1zhuangshixian,1,xg1,,32,1
6,1yuanxing,1,xg1,,9,2
7,2chuanglian,2,xg2,,2,1
8,2dingbu2,2,xg2,,30,2
9,2dingbu1,2,xg2,,12,1
10,2tang3,2,xg2,,3,1
11,2tang2,2,xg2,,6,2
12,2tang1,2,xg2,,14,2
13,2fangzi3,2,xg2,,18,2
14,2chuangkuang,2,xg2,,35,2
15,2fangzi2,2,xg2,,8,2
16,2yancong,2,xg2,,37,2
17,3gaizi2,3,xg3,,31,1
18,3gaizi1,3,xg3,,34,2
19,3tang10,3,xg3,,23,2
20,3tang9,3,xg3,,5,1
21,3tang8,3,xg3,,13,1
22,3tang7,3,xg3,,36,1
23,3tang6,3,xg3,,20,2
24,3tang5,3,xg3,,26,2
25,3tang4,3,xg3,,16,1
26,3dibu3,3,xg3,,21,1
27,3dibu2,3,xg3,,27,1
28,3dibu1,3,xg3,,25,2
29,3hudiejie,3,xg3,,11,2
30,3miao,3,xg3,,22,2
31,4caiqi,4,xg4,,1,1
32,4bolizhao,4,xg4,,19,2
33,4caisedeng,4,xg4,,17,2
34,4tang11,4,xg4,,33,1
35,4xiaonvhai,4,xg4,,10,1
36,4dujiaoshou_1,4,xg4,,28,1
37,4dujiaoshou,4,xg4,,15,2
