id,resourceName,type,hintline,direct,sort,input
1,1xingxing2,1,xg1,,23,2
2,1xingxing1,1,xg1,,16,1
3,1yun3,1,xg1,,22,2
4,1yun2,1,xg1,,25,1
5,1yun1,1,xg1,,18,1
6,1di3,1,xg1,,13,1
7,1di2,1,xg1,,3,1
8,1di1,1,xg1,,4,2
9,2qianxiaolu,2,xg2,,21,2
10,2youfangzi3,2,xg2,,20,1
11,2youshu2,2,xg2,,7,1
12,2youshu1,2,xg2,,11,1
13,2youfangzi2,2,xg2,,5,1
14,2youfangding1,2,xg2,,27,2
15,2youfangzi1,2,xg2,,29,2
16,2zuoshu3,2,xg2,,15,2
17,2zuofangzi2,2,xg2,,26,1
18,2zuofangzi1,2,xg2,,12,1
19,2zuoshu1,2,xg2,,24,1
20,2nvhai,2,xg2,,6,1
21,3xuehua,3,xg3,,30,2
22,3wangguan,3,xg3,,19,1
23,3hualan,3,xg3,,10,2
24,3qianfang2,3,xg3,,2,2
25,3qianfang1,3,xg3,,14,2
26,3qianshu5,3,xg3,,28,1
27,3qianshu4,3,xg3,,9,2
28,3qianshu3,3,xg3,,8,1
29,3qianshu2,3,xg3,,17,1
30,3qianshu1,3,xg3,,1,1
31,ty2,,,2,,
32,ty3,,,3,,
